drug,smiles,pubchem_cid,targets,moa_broad,moa_fine
Oxaprozin,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,4614.0,"PTGS1, PTGS2, NFKB1",inhibitor/antagonist,Cyclooxygenase inhibitor
Baicalin,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,64982.0,,activator/agonist,unclear
Belinostat,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO,6918638.0,HDAC6,inhibitor/antagonist,HDAC inhibitor
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,2554.0,,inhibitor/antagonist,HDAC inhibitor
HI-TOPK-032,C1=CC=C2C(=C1)N=C3C(=C4C=C(C=CN4C3=N2)NC(=O)C5=CC=CS5)C#N,1936439.0,PBK,inhibitor/antagonist,unclear
8-Hydroxyquinoline,C1=CC2=C(C(=C1)O)N=CC=C2,1923.0,,unclear,unclear
Riluzole hydrochloride,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N.Cl,6419992.0,,inhibitor/antagonist,unclear
Minodronic acid,C1=CC2=NC=C(N2C=C1)CC(O)(P(=O)(O)O)P(=O)(O)O,130956.0,"P2RX2, P2RX3",inhibitor/antagonist,unclear
GSK1059615,C1=CC2=NC=CC(=C2C=C1C=C3C(=O)NC(=O)S3)C4=CC=NC=C4,23582824.0,"PIK3CA, PIK3CB, PIK3CD, PIK3CG, MTOR",inhibitor/antagonist,PI3K/AKT inhibitor
Gemcitabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,60750.0,,inhibitor/antagonist,DNA synthesis/repair inhibitor
Cytarabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,6253.0,,inhibitor/antagonist,DNA synthesis/repair inhibitor
Cytarabine (hydrochloride),C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O.Cl,6252.0,,inhibitor/antagonist,DNA synthesis/repair inhibitor
Uridine,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,6029.0,,unclear,unclear
Selinexor,C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,71481097.0,XPO1,inhibitor/antagonist,unclear
Furosemide,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,3440.0,"SLC12A1, SLC12A2",inhibitor/antagonist,unclear
Adenosine,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,60961.0,"ADORA1, ADORA2A, ADORA2B, ADORA3",unclear,unclear
5-Azacytidine,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,9444.0,DNMT1,inhibitor/antagonist,DNA methyltransferase inhibitor
Clofarabine,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)F)Cl)N,119182.0,,inhibitor/antagonist,DNA synthesis/repair inhibitor
Adenine,C1=NC2=NC=NC(=C2N1)N,190.0,,unclear,unclear
Allopurinol,C1=NNC2=C1C(=O)NC=N2,135401907.0,XDH,inhibitor/antagonist,unclear
Trifluridine,C1C(C(OC1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O,6256.0,,inhibitor/antagonist,DNA synthesis/repair inhibitor
Brivudine,C1C(C(OC1N2C=C(C(=O)NC2=O)C=CBr)CO)O,446727.0,,unclear,unclear
Idoxuridine,C1C(C(OC1N2C=C(C(=O)NC2=O)I)CO)O,5905.0,,unclear,DNA synthesis/repair inhibitor
Decitabine,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,451668.0,"DNMT1, DNMT3A, DNMT3B",inhibitor/antagonist,DNA methyltransferase inhibitor
Lenalidomide (hemihydrate),C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N.C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N.O,46220375.0,"CRBN, IKZF1, IKZF3",inhibitor/antagonist,unclear
DT-061,C1CC(C(C(C1)N2C3=CC=CC=C3OC4=CC=CC=C42)O)NS(=O)(=O)C5=CC=C(C=C5)OC(F)(F)F,91885558.0,,activator/agonist,unclear
BAY1125976,C1CC(C1)(C2=CC=C(C=C2)C3=C(N4C(=N3)C=CC(=N4)C(=O)N)C5=CC=CC=C5)N,70817911.0,"AKT1, AKT2, AKT3",inhibitor/antagonist,PI3K/AKT inhibitor
Larotrectinib,C1CC(N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CCC(C4)O)C5=C(C=CC(=C5)F)F,46188928.0,"NTRK1, NTRK2, NTRK3",inhibitor/antagonist,Other TK inhibitor
Larotrectinib sulfate,C1CC(N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CCC(C4)O)C5=C(C=CC(=C5)F)F.OS(=O)(=O)O,67330085.0,"NTRK1, NTRK2, NTRK3",inhibitor/antagonist,Other TK inhibitor
olaparib,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,23725625.0,"PARP1, PARP2",unclear,DNA synthesis/repair inhibitor
Filgotinib,C1CC1C(=O)NC2=NN3C(=N2)C=CC=C3C4=CC=C(C=C4)CN5CCS(=O)(=O)CC5,49831257.0,"JAK1, JAK2, TYK2, JAK3",inhibitor/antagonist,JAK/STAT inhibitor
ULK-101,C1CC1C(C(F)(F)F)NC(=O)C2=CC(=CS2)C3=C4N=CC(=CN4N=C3)C5=CC=C(C=C5)F,137628686.0,"ULK1, ULK2",inhibitor/antagonist,unclear
Oxaliplatin,C1CCC(C(C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],9887053.0,,inhibitor/antagonist,DNA synthesis/repair inhibitor
Cilostazol,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,2754.0,PDE3A,inhibitor/antagonist,unclear
LY2090314,C1CCN(CC1)C(=O)N2CCN3C=C(C4=CC(=CC(=C43)C2)F)C5=C(C(=O)NC5=O)C6=CN=C7N6C=CC=C7,10029385.0,"GSK3B, GSK3A",inhibitor/antagonist,GSK3 inhibitor
Cobimetinib,C1CCNC(C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O,16222096.0,MAP2K1,inhibitor/antagonist,MEK inhibitor
Asciminib,C1CN(CC1O)C2=C(C=C(C=N2)C(=O)NC3=CC=C(C=C3)OC(F)(F)Cl)C4=CC=NN4,72165228.0,ABL1,inhibitor/antagonist,Other TK inhibitor
Capivasertib,C1CN(CCC1(C(=O)NC(CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4,25227436.0,"AKT1, AKT2, AKT3, RPS6KB1, PRKACA, ROCK2, ROCK1",inhibitor/antagonist,PI3K/AKT inhibitor
Penfluridol,C1CN(CCC1(C2=CC(=C(C=C2)Cl)C(F)(F)F)O)CCCC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,33630.0,DRD2,inhibitor/antagonist,unclear
Lonafarnib,C1CN(CCC1CC(=O)N2CCC(CC2)C3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4Br)Cl)C(=O)N,148195.0,"HRAS, KRAS, NRAS",inhibitor/antagonist,RAS inhibitor
Pimozide,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,16362.0,"DRD2, DRD3",inhibitor/antagonist,unclear
Clonidine (hydrochloride),C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl,20179.0,"ADRA2A, ADRA2B, ADRA2C",activator/agonist,Adrenoceptor agonist
Brimonidine,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,2435.0,"ADRA2A, ADRA2B, ADRA2C",activator/agonist,Adrenoceptor agonist
AT7519,C1CNCCC1NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl,11338033.0,"CDK2, CDK4, CDK5, CDK6, CDK9, CDK1, CDK7, GSK3B",inhibitor/antagonist,CDK inhibitor
Hydroxyfasudil,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CNC3=O,3064778.0,"ROCK1, ROCK2, PRKACA",inhibitor/antagonist,unclear
BI-78D3,C1COC2=C(O1)C=CC(=C2)N3C(=O)NN=C3SC4=NC=C(S4)[N+](=O)[O-],2747117.0,,inhibitor/antagonist,Other MAPK inhibitor
ETC-206,C1COCCN1C(=O)C2=CC=C(C=C2)C3=CN4C(=NC=C4C5=CC=C(C=C5)C#N)C=C3,71766360.0,,inhibitor/antagonist,Protein synthesis inhibitor
LJI308,C1COCCN1C2=CC=C(C=C2)C3=C(C=NC=C3)C4=CC(=C(C(=C4)F)O)F,118704762.0,"RPS6KA1, RPS6KA3, RPS6KA2",inhibitor/antagonist,Other MAPK inhibitor
Bimiralisib,C1COCCN1C2=NC(=NC(=N2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4,58507717.0,"PIK3CA, PIK3CB, MTOR",inhibitor/antagonist,PI3K/AKT inhibitor
Bentamapimod,C1COCCN1CC2=CC=C(C=C2)COC3=NC=CC(=N3)C(C#N)C4=NC5=CC=CC=C5S4,10195250.0,"MAPK8, MAPK9, MAPK10",inhibitor/antagonist,Other MAPK inhibitor
Lipoic acid,C1CSSC1CCCCC(=O)O,6112.0,,unclear,unclear
Peretinoin,CC(=CCCC(=CCCC(=CC=CC(=CC(=O)O)C)C)C)C,6437836.0,"RXRA, RXRB, RXRG",unclear,Retinoic receptor agonist
IQ 1,CC(=O)C1=CC=C(C=C1)NN=C(C2=NC(CC3=CC=CC=C32)(C)C)C(=O)N,5823908.0,,unclear,unclear
Acetohexamide,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,1989.0,,activator/agonist,unclear
Pentoxifylline,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,4740.0,,inhibitor/antagonist,unclear
DTP3,CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCCN=C(N)N)C(=O)NC(CC2=CC=CC=C2)C(=O)N,86295191.0,,inhibitor/antagonist,unclear
Acetazolamide,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,1986.0,,inhibitor/antagonist,unclear
Pasireotide (acetate),CC(=O)O.C1C(CN2C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C2=O)CC3=CC=CC=C3)CC4=CC=C(C=C4)OCC5=CC=CC=C5)CCCCN)CC6=CNC7=CC=CC=C76)C8=CC=CC=C8)OC(=O)NCCN,72205932.0,"SSTR1, SSTR2, SSTR3, SSTR5",activator/agonist,unclear
Chlorhexidine (diacetate),CC(=O)O.CC(=O)O.C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,9562059.0,,unclear,unclear
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,2244.0,"PTGS1, PTGS2",inhibitor/antagonist,Cyclooxygenase inhibitor
Abiraterone acetate,CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CC=C4C5=CN=CC=C5)C)C,9821849.0,CYP17A1,inhibitor/antagonist,unclear
Sivelestat (sodium tetrahydrate),CC(C)(C)C(=O)OC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NCC(=O)[O-].O.O.O.O.[Na+],23663985.0,ELANE,inhibitor/antagonist,unclear
Atazanavir (sulfate),CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC.OS(=O)(=O)O,158550.0,CYP3A4,inhibitor/antagonist,unclear
Terfenadine,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,5405.0,HRH1,inhibitor/antagonist,unclear
Bosentan (hydrate),CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC.O,185462.0,"EDNRA, EDNRB",inhibitor/antagonist,unclear
Dabrafenib,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F,44462760.0,"BRAF, RAF1",inhibitor/antagonist,RAF inhibitor
Ralimetinib dimesylate,CC(C)(C)CN1C2=C(C=CC(=N2)C3=C(N=C(N3)C(C)(C)C)C4=CC=C(C=C4)F)N=C1N.CS(=O)(=O)O.CS(=O)(=O)O,11570805.0,"MAPKAPK2, MAPK14, MAPK11",inhibitor/antagonist,Other MAPK inhibitor
Saquinavir,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(C(CC3=CC=CC=C3)NC(=O)C(CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,441243.0,,inhibitor/antagonist,unclear
Pentagastrin,CC(C)(C)OC(=O)NCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC3=CC=CC=C3)C(=O)N,9853654.0,CCKBR,inhibitor/antagonist,unclear
Anastrozole,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,2187.0,CYP19A1,inhibitor/antagonist,unclear
Harringtonine,CC(C)(CCC(CC(=O)OC)(C(=O)OC1C2C3=CC4=C(C=C3CCN5C2(CCC5)C=C1OC)OCO4)O)O,276389.0,,unclear,Protein synthesis inhibitor
Homoharringtonine,CC(C)(CCCC(CC(=O)OC)(C(=O)OC1C2C3=CC4=C(C=C3CCN5C2(CCC5)C=C1OC)OCO4)O)O,285033.0,,inhibitor/antagonist,Protein synthesis inhibitor
Flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,3397.0,AR,inhibitor/antagonist,Androgen receptor antagonist
Thymopentin,CC(C)C(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CCCCN)NC(=O)C(CCCN=C(N)N)N,451417.0,,unclear,unclear
Aliskiren,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,5493444.0,REN,inhibitor/antagonist,unclear
Verapamil,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,2520.0,"CYP3A4, ABCB1",inhibitor/antagonist,unclear
(R)-Verapamil (hydrochloride),CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl,170014.0,ABCB1,inhibitor/antagonist,unclear
Ritonavir,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,392622.0,,inhibitor/antagonist,unclear
Goserelin (acetate),CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O,16052011.0,GNRHR,activator/agonist,unclear
Bestatin,CC(C)CC(C(=O)O)NC(=O)C(C(CC1=CC=CC=C1)N)O,72172.0,ANPEP,inhibitor/antagonist,unclear
Bestatin (hydrochloride),CC(C)CC(C(=O)O)NC(=O)C(C(CC1=CC=CC=C1)N)O.Cl,11957481.0,,inhibitor/antagonist,unclear
Imiquimod (maleate),CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N.C(=CC(=O)O)C(=O)O,11595577.0,TLR7,activator/agonist,unclear
Imiquimod (hydrochloride),CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N.Cl,13982876.0,TLR7,activator/agonist,unclear
Encorafenib,CC(C)N1C=C(C(=N1)C2=C(C(=CC(=C2)Cl)NS(=O)(=O)C)F)C3=NC(=NC=C3)NCC(C)NC(=O)OC,50922675.0,BRAF,inhibitor/antagonist,RAF inhibitor
AZD1390,CC(C)N1C2=C(C=NC3=CC(=C(C=C32)C4=CN=C(C=C4)OCCCN5CCCCC5)F)N(C1=O)C,126689157.0,ATM,inhibitor/antagonist,unclear
Sapanisertib,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(C=C3)OC(=N4)N)N,45375953.0,MTOR,inhibitor/antagonist,MTOR inhibitor
Torkinib,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(N3)C=CC(=C4)O)N,135565635.0,"MTOR, PDGFRA, PRKDC, PIK3CD, PIK3CG, PIK3CA, PIK3CB, HCK, SRC, KDR, ABL1, EPHB4, EGFR",inhibitor/antagonist,MTOR inhibitor
Belumosudil,CC(C)NC(=O)COC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC5=C(C=C4)NN=C5,11950170.0,"ROCK2, ROCK1",inhibitor/antagonist,unclear
Belumosudil (mesylate),CC(C)NC(=O)COC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC5=C(C=C4)NN=C5.CS(=O)(=O)O,146681181.0,"ROCK2, ROCK1",inhibitor/antagonist,unclear
Esmolol (hydrochloride),CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O.Cl,104769.0,ADRB1,inhibitor/antagonist,unclear
Erdafitinib,CC(C)NCCN(C1=CC2=NC(=CN=C2C=C1)C3=CN(N=C3)C)C4=CC(=CC(=C4)OC)OC,67462786.0,"FGFR1, FGFR2, FGFR3, FGFR4",inhibitor/antagonist,Other TK inhibitor
Malotilate,CC(C)OC(=O)C(=C1SC=CS1)C(=O)OC(C)C,4006.0,ALOX5,inhibitor/antagonist,unclear
Fenofibrate,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,3339.0,"CYP2C19, CYP2B6, CYP2C9, CYP2C8, CYP3A4, PPARA",unclear,unclear
MK-8353,CC(C)OC1=NC=C(C=C1)C2=NNC3=C2C=C(C=C3)NC(=O)C4(CCN(C4)CC(=O)N5CCC(=CC5)C6=CC=C(C=C6)C7=NN(C=N7)C)SC,58282870.0,"MAPK3, MAPK1",inhibitor/antagonist,Other MAPK inhibitor
crizotinib,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,11626560.0,"ALK, MET, ROS1",inhibitor/antagonist,Multi-TK inhibitor
(S)-Crizotinib,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,56671814.0,NUDT1,inhibitor/antagonist,unclear
Crizotinib (hydrochloride),CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N.Cl,71576688.0,"ALK, MET, ROS1",inhibitor/antagonist,Multi-TK inhibitor
Aprepitant,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,135413536.0,TACR1,inhibitor/antagonist,unclear
Cinacalcet,CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F,156419.0,CASR,activator/agonist,unclear
Naproxen,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,156391.0,"PTGS1, PTGS2",inhibitor/antagonist,Cyclooxygenase inhibitor
Zileuton,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,60490.0,ALOX5,inhibitor/antagonist,unclear
Voriconazole,CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,71616.0,,inhibitor/antagonist,unclear
Carbidopa (monohydrate),CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,2563.0,AHR,inhibitor/antagonist,unclear
