drug,smiles,pubchem_cid,targets,moa_broad,moa_fine,canonical_smiles,in_existing_registry,in_drugseq,new_to_both
Norepinephrine (hydrochloride),C1=CC(=C(C=C1C(CN)O)O)O.Cl,11672905.0,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1",activator/agonist,Adrenoceptor agonist,Cl.NCC(O)c1ccc(O)c(O)c1,False,False,True
Mitoxantrone (dihydrochloride),C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO.Cl.Cl,51082.0,"TOP2A, TOP2B, PRKCA",inhibitor/antagonist,DNA synthesis/repair inhibitor,Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,False,False,True
Pentamidine (isethionate),C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N.C(CS(=O)(=O)O)O.C(CS(=O)(=O)O)O,8813.0,PRLR,inhibitor/antagonist,unclear,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1.O=S(=O)(O)CCO.O=S(=O)(O)CCO,False,False,True
Folic acid,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,135398658.0,,unclear,unclear,Nc1nc2ncc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1,False,False,True
Balsalazide (sodium hydrate),C1=CC(=CC=C1C(=O)NCCC(=O)[O-])N=NC2=CC(=C(C=C2)[O-])C(=O)O.O.O.[Na+].[Na+],92044433.0,"IL6, STAT3",unclear,JAK/STAT inhibitor,O.O.O=C([O-])CCNC(=O)c1ccc(N=Nc2ccc([O-])c(C(=O)O)c2)cc1.[Na+].[Na+],False,False,True
Resveratrol,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,445154.0,SIRT1,unclear,unclear,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,False,False,True
PF-06260933,C1=CC(=CC=C1C2=C(N=CC(=C2)C3=CN=C(C=C3)N)N)Cl,118701008.0,MAP4K4,inhibitor/antagonist,Other MAPK inhibitor,Nc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cn1,False,False,True
Daidzin,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O,107971.0,ALDH2,inhibitor/antagonist,unclear,O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12,False,False,True
Pemetrexed,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)NC(CCC(=O)O)C(=O)O,135410875.0,"TYMS, DHFR, GART",inhibitor/antagonist,DNA synthesis/repair inhibitor,Nc1nc2[nH]cc(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,False,False,True
Econazole,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,3198.0,,unclear,unclear,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,False,False,True
XRK3F2,C1=CC(=CC=C1COC2=C(C=C(C=C2)CNCCO)OCC3=CC=C(C=C3)F)F.Cl,135397144.0,,inhibitor/antagonist,unclear,Cl.OCCNCc1ccc(OCc2ccc(F)cc2)c(OCc2ccc(F)cc2)c1,False,False,True
Arbutin,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,440936.0,"MYC, KLF4",inhibitor/antagonist,unclear,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,False,False,True
Tucidinostat,C1=CC(=CN=C1)C=CC(=O)NCC2=CC=C(C=C2)C(=O)NC3=C(C=C(C=C3)F)N,12136798.0,"HDAC1, HDAC2, HDAC3, HDAC10, HDAC8, HDAC11",inhibitor/antagonist,HDAC inhibitor,Nc1cc(F)ccc1NC(=O)c1ccc(CNC(=O)C=Cc2cccnc2)cc1,False,False,True
Pexidartinib (hydrochloride),C1=CC(=NC=C1CC2=CNC3=C2C=C(C=N3)Cl)NCC4=CN=C(C=C4)C(F)(F)F.Cl,73053710.0,"CSF1R, KIT, FLT3",inhibitor/antagonist,Multi-TK inhibitor,Cl.FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,False,False,True
Sodium Salicylate,C1=CC=C(C(=C1)C(=O)[O-])O.[Na+],16760658.0,PTGS2,inhibitor/antagonist,Cyclooxygenase inhibitor,O=C([O-])c1ccccc1O.[Na+],False,False,True
Phenytoin (sodium),C1=CC=C(C=C1)C2(C(=O)NC(=N2)[O-])C3=CC=CC=C3.[Na+],23679632.0,,inhibitor/antagonist,unclear,O=C1NC([O-])=NC1(c1ccccc1)c1ccccc1.[Na+],False,False,True
SBI-0640756,C1=CC=C(C=C1)C2=C(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)C=CC4=CC(=CN=C4)F,121241171.0,,inhibitor/antagonist,Protein synthesis inhibitor,O=C(C=Cc1cncc(F)c1)c1c(-c2ccccc2)c2cc(Cl)ccc2[nH]c1=O,False,False,True
Baicalin,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,64982.0,,activator/agonist,unclear,O=C(O)C1OC(Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O,False,False,True
Belinostat,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO,6918638.0,HDAC6,inhibitor/antagonist,HDAC inhibitor,O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,False,False,True
HI-TOPK-032,C1=CC=C2C(=C1)N=C3C(=C4C=C(C=CN4C3=N2)NC(=O)C5=CC=CS5)C#N,1936439.0,PBK,inhibitor/antagonist,unclear,N#Cc1c2nc3ccccc3nc2n2ccc(NC(=O)c3cccs3)cc12,False,False,True
Riluzole hydrochloride,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N.Cl,6419992.0,,inhibitor/antagonist,unclear,Cl.Nc1nc2ccc(OC(F)(F)F)cc2s1,False,False,True
GSK1059615,C1=CC2=NC=CC(=C2C=C1C=C3C(=O)NC(=O)S3)C4=CC=NC=C4,23582824.0,"PIK3CA, PIK3CB, PIK3CD, PIK3CG, MTOR",inhibitor/antagonist,PI3K/AKT inhibitor,O=C1NC(=O)C(=Cc2ccc3nccc(-c4ccncc4)c3c2)S1,False,False,True
Gemcitabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,60750.0,,inhibitor/antagonist,DNA synthesis/repair inhibitor,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,False,False,True
Cytarabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,6253.0,,inhibitor/antagonist,DNA synthesis/repair inhibitor,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,False,False,True
Cytarabine (hydrochloride),C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O.Cl,6252.0,,inhibitor/antagonist,DNA synthesis/repair inhibitor,Cl.Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,False,False,True
Selinexor,C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,71481097.0,XPO1,inhibitor/antagonist,unclear,O=C(C=Cn1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1,False,False,True
Adenosine,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,60961.0,"ADORA1, ADORA2A, ADORA2B, ADORA3",unclear,unclear,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,False,False,True
5-Azacytidine,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,9444.0,DNMT1,inhibitor/antagonist,DNA methyltransferase inhibitor,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,False,False,True
Clofarabine,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)F)Cl)N,119182.0,,inhibitor/antagonist,DNA synthesis/repair inhibitor,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,False,False,True
Allopurinol,C1=NNC2=C1C(=O)NC=N2,135401907.0,XDH,inhibitor/antagonist,unclear,O=c1[nH]cnc2[nH]ncc12,False,False,True
Trifluridine,C1C(C(OC1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O,6256.0,,inhibitor/antagonist,DNA synthesis/repair inhibitor,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F,False,False,True
Brivudine,C1C(C(OC1N2C=C(C(=O)NC2=O)C=CBr)CO)O,446727.0,,unclear,unclear,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C=CBr,False,False,True
Idoxuridine,C1C(C(OC1N2C=C(C(=O)NC2=O)I)CO)O,5905.0,,unclear,DNA synthesis/repair inhibitor,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,False,False,True
Decitabine,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,451668.0,"DNMT1, DNMT3A, DNMT3B",inhibitor/antagonist,DNA methyltransferase inhibitor,Nc1ncn(C2CC(O)C(CO)O2)c(=O)n1,False,False,True
Lenalidomide (hemihydrate),C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N.C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N.O,46220375.0,"CRBN, IKZF1, IKZF3",inhibitor/antagonist,unclear,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O.Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O.O,False,False,True
DT-061,C1CC(C(C(C1)N2C3=CC=CC=C3OC4=CC=CC=C42)O)NS(=O)(=O)C5=CC=C(C=C5)OC(F)(F)F,91885558.0,,activator/agonist,unclear,O=S(=O)(NC1CCCC(N2c3ccccc3Oc3ccccc32)C1O)c1ccc(OC(F)(F)F)cc1,False,False,True
Larotrectinib,C1CC(N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CCC(C4)O)C5=C(C=CC(=C5)F)F,46188928.0,"NTRK1, NTRK2, NTRK3",inhibitor/antagonist,Other TK inhibitor,O=C(Nc1cnn2ccc(N3CCCC3c3cc(F)ccc3F)nc12)N1CCC(O)C1,False,False,True
Larotrectinib sulfate,C1CC(N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CCC(C4)O)C5=C(C=CC(=C5)F)F.OS(=O)(=O)O,67330085.0,"NTRK1, NTRK2, NTRK3",inhibitor/antagonist,Other TK inhibitor,O=C(Nc1cnn2ccc(N3CCCC3c3cc(F)ccc3F)nc12)N1CCC(O)C1.O=S(=O)(O)O,False,False,True
ULK-101,C1CC1C(C(F)(F)F)NC(=O)C2=CC(=CS2)C3=C4N=CC(=CN4N=C3)C5=CC=C(C=C5)F,137628686.0,"ULK1, ULK2",inhibitor/antagonist,unclear,O=C(NC(C1CC1)C(F)(F)F)c1cc(-c2cnn3cc(-c4ccc(F)cc4)cnc23)cs1,False,False,True
Oxaliplatin,C1CCC(C(C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],9887053.0,,inhibitor/antagonist,DNA synthesis/repair inhibitor,O=C(O)C(=O)O.[NH-]C1CCCCC1[NH-].[Pt+2],False,False,True
Cobimetinib,C1CCNC(C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O,16222096.0,MAP2K1,inhibitor/antagonist,MEK inhibitor,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)(C2CCCCN2)C1,False,False,True
Asciminib,C1CN(CC1O)C2=C(C=C(C=N2)C(=O)NC3=CC=C(C=C3)OC(F)(F)Cl)C4=CC=NN4,72165228.0,ABL1,inhibitor/antagonist,Other TK inhibitor,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CCC(O)C2)c(-c2ccn[nH]2)c1,False,False,True
Capivasertib,C1CN(CCC1(C(=O)NC(CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4,25227436.0,"AKT1, AKT2, AKT3, RPS6KB1, PRKACA, ROCK2, ROCK1",inhibitor/antagonist,PI3K/AKT inhibitor,NC1(C(=O)NC(CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,False,False,True
Lonafarnib,C1CN(CCC1CC(=O)N2CCC(CC2)C3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4Br)Cl)C(=O)N,148195.0,"HRAS, KRAS, NRAS",inhibitor/antagonist,RAS inhibitor,NC(=O)N1CCC(CC(=O)N2CCC(C3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1,False,False,True
Clonidine (hydrochloride),C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl,20179.0,"ADRA2A, ADRA2B, ADRA2C",activator/agonist,Adrenoceptor agonist,Cl.Clc1cccc(Cl)c1NC1=NCCN1,False,False,True
LJI308,C1COCCN1C2=CC=C(C=C2)C3=C(C=NC=C3)C4=CC(=C(C(=C4)F)O)F,118704762.0,"RPS6KA1, RPS6KA3, RPS6KA2",inhibitor/antagonist,Other MAPK inhibitor,Oc1c(F)cc(-c2cnccc2-c2ccc(N3CCOCC3)cc2)cc1F,False,False,True
Bentamapimod,C1COCCN1CC2=CC=C(C=C2)COC3=NC=CC(=N3)C(C#N)C4=NC5=CC=CC=C5S4,10195250.0,"MAPK8, MAPK9, MAPK10",inhibitor/antagonist,Other MAPK inhibitor,N#CC(c1ccnc(OCc2ccc(CN3CCOCC3)cc2)n1)c1nc2ccccc2s1,False,False,True
Lipoic acid,C1CSSC1CCCCC(=O)O,6112.0,,unclear,unclear,O=C(O)CCCCC1CCSS1,False,False,True
Peretinoin,CC(=CCCC(=CCCC(=CC=CC(=CC(=O)O)C)C)C)C,6437836.0,"RXRA, RXRB, RXRG",unclear,Retinoic receptor agonist,CC(C)=CCCC(C)=CCCC(C)=CC=CC(C)=CC(=O)O,False,False,True
IQ 1,CC(=O)C1=CC=C(C=C1)NN=C(C2=NC(CC3=CC=CC=C32)(C)C)C(=O)N,5823908.0,,unclear,unclear,CC(=O)c1ccc(NN=C(C(N)=O)C2=NC(C)(C)Cc3ccccc32)cc1,False,False,True
DTP3,CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCCN=C(N)N)C(=O)NC(CC2=CC=CC=C2)C(=O)N,86295191.0,,inhibitor/antagonist,unclear,CC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCN=C(N)N)C(=O)NC(Cc1ccccc1)C(N)=O,False,False,True
Pasireotide (acetate),CC(=O)O.C1C(CN2C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C2=O)CC3=CC=CC=C3)CC4=CC=C(C=C4)OCC5=CC=CC=C5)CCCCN)CC6=CNC7=CC=CC=C76)C8=CC=CC=C8)OC(=O)NCCN,72205932.0,"SSTR1, SSTR2, SSTR3, SSTR5",activator/agonist,unclear,CC(=O)O.NCCCCC1NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(c2ccccc2)NC(=O)C2CC(OC(=O)NCCN)CN2C(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(OCc3ccccc3)cc2)NC1=O,False,False,True
Chlorhexidine (diacetate),CC(=O)O.CC(=O)O.C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,9562059.0,,unclear,unclear,CC(=O)O.CC(=O)O.NC(=NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc1,False,False,True
Abiraterone acetate,CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CC=C4C5=CN=CC=C5)C)C,9821849.0,CYP17A1,inhibitor/antagonist,unclear,CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(c4cccnc4)=CCC32)C1,False,False,True
Sivelestat (sodium tetrahydrate),CC(C)(C)C(=O)OC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NCC(=O)[O-].O.O.O.O.[Na+],23663985.0,ELANE,inhibitor/antagonist,unclear,CC(C)(C)C(=O)Oc1ccc(S(=O)(=O)Nc2ccccc2C(=O)NCC(=O)[O-])cc1.O.O.O.O.[Na+],False,False,True
Atazanavir (sulfate),CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC.OS(=O)(=O)O,158550.0,CYP3A4,inhibitor/antagonist,unclear,COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C.O=S(=O)(O)O,False,False,True
Terfenadine,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,5405.0,HRH1,inhibitor/antagonist,unclear,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,False,False,True
Bosentan (hydrate),CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC.O,185462.0,"EDNRA, EDNRB",inhibitor/antagonist,unclear,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO.O,False,False,True
Ralimetinib dimesylate,CC(C)(C)CN1C2=C(C=CC(=N2)C3=C(N=C(N3)C(C)(C)C)C4=CC=C(C=C4)F)N=C1N.CS(=O)(=O)O.CS(=O)(=O)O,11570805.0,"MAPKAPK2, MAPK14, MAPK11",inhibitor/antagonist,Other MAPK inhibitor,CC(C)(C)Cn1c(N)nc2ccc(-c3[nH]c(C(C)(C)C)nc3-c3ccc(F)cc3)nc21.CS(=O)(=O)O.CS(=O)(=O)O,False,False,True
Saquinavir,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(C(CC3=CC=CC=C3)NC(=O)C(CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,441243.0,,inhibitor/antagonist,unclear,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,False,False,True
Pentagastrin,CC(C)(C)OC(=O)NCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC3=CC=CC=C3)C(=O)N,9853654.0,CCKBR,inhibitor/antagonist,unclear,CSCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,False,False,True
Harringtonine,CC(C)(CCC(CC(=O)OC)(C(=O)OC1C2C3=CC4=C(C=C3CCN5C2(CCC5)C=C1OC)OCO4)O)O,276389.0,,unclear,Protein synthesis inhibitor,COC(=O)CC(O)(CCC(C)(C)O)C(=O)OC1C(OC)=CC23CCCN2CCc2cc4c(cc2C13)OCO4,False,False,True
Homoharringtonine,CC(C)(CCCC(CC(=O)OC)(C(=O)OC1C2C3=CC4=C(C=C3CCN5C2(CCC5)C=C1OC)OCO4)O)O,285033.0,,inhibitor/antagonist,Protein synthesis inhibitor,COC(=O)CC(O)(CCCC(C)(C)O)C(=O)OC1C(OC)=CC23CCCN2CCc2cc4c(cc2C13)OCO4,False,False,True
Thymopentin,CC(C)C(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CCCCN)NC(=O)C(CCCN=C(N)N)N,451417.0,,unclear,unclear,CC(C)C(NC(=O)C(CC(=O)O)NC(=O)C(CCCCN)NC(=O)C(N)CCCN=C(N)N)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,False,False,True
Aliskiren,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,5493444.0,REN,inhibitor/antagonist,unclear,COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,False,False,True
(R)-Verapamil (hydrochloride),CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl,170014.0,ABCB1,inhibitor/antagonist,unclear,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC.Cl,False,False,True
Ritonavir,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,392622.0,,inhibitor/antagonist,unclear,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,False,False,True
Goserelin (acetate),CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O,16052011.0,GNRHR,activator/agonist,unclear,CC(=O)O.CC(C)CC(NC(=O)C(COC(C)(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(N)=O,False,False,True
Bestatin,CC(C)CC(C(=O)O)NC(=O)C(C(CC1=CC=CC=C1)N)O,72172.0,ANPEP,inhibitor/antagonist,unclear,CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(=O)O,False,False,True
Bestatin (hydrochloride),CC(C)CC(C(=O)O)NC(=O)C(C(CC1=CC=CC=C1)N)O.Cl,11957481.0,,inhibitor/antagonist,unclear,CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(=O)O.Cl,False,False,True
Imiquimod (maleate),CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N.C(=CC(=O)O)C(=O)O,11595577.0,TLR7,activator/agonist,unclear,CC(C)Cn1cnc2c(N)nc3ccccc3c21.O=C(O)C=CC(=O)O,False,False,True
Imiquimod (hydrochloride),CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N.Cl,13982876.0,TLR7,activator/agonist,unclear,CC(C)Cn1cnc2c(N)nc3ccccc3c21.Cl,False,False,True
