signature_row_index,compound_embedding_row_index,source,signature_id,compound_name,parsed_cell_line,parsed_time,parsed_dose,split,time_hours,dose_um,log10_dose_um,cold_drug_split
19,3678,L1000,L1000::AS-703026::A375::::24H::0.03uM::REP.B008::P05::BRD-K89014967,AS-703026; Pimasertib,A375,24H,0.03uM,train,24.0,0.03,-1.5228787452803376,train
20,427,L1000,L1000::bortezomib::A375::::24H::20uM::REP.B008::G13::BRD-K50691590,Bortezomib,A375,24H,20uM,train,24.0,20.0,1.3010299956639813,train
21,4657,L1000,L1000::SN-38::A375::::24H::0.74uM::REP.B008::O14::BRD-K89561498,SN-38,A375,24H,0.74uM,train,24.0,0.74,-0.13076828026902382,train
22,4657,L1000,L1000::SN-38::A375::::24H::2.22uM::REP.B008::O13::BRD-K89561498,SN-38,A375,24H,2.22uM,train,24.0,2.22,0.3463529744506387,train
23,4764,L1000,L1000::YM-155::A375::::24H::0.25uM::REP.B008::H15::BRD-K76703230,YM-155,A375,24H,0.25uM,test,24.0,0.25,-0.6020599913279624,validation
24,427,L1000,L1000::bortezomib::A375::::24H::20uM::REP.B008::C22::BRD-K50691590,Bortezomib,A375,24H,20uM,train,24.0,20.0,1.3010299956639813,train
25,4764,L1000,L1000::YM-155::A375::::24H::2.22uM::REP.B008::H13::BRD-K76703230,YM-155,A375,24H,2.22uM,train,24.0,2.22,0.3463529744506387,validation
26,3678,L1000,L1000::AS-703026::A375::::24H::0.01uM::REP.B008::P06::BRD-K89014967,AS-703026; Pimasertib,A375,24H,0.01uM,test,24.0,0.01,-2.0,train
27,4657,L1000,L1000::SN-38::A375::::24H::0.01uM::REP.B008::O18::BRD-K89561498,SN-38,A375,24H,0.01uM,val,24.0,0.01,-2.0,train
28,427,L1000,L1000::bortezomib::A375::::24H::20uM::REP.B008::C20::BRD-K50691590,Bortezomib,A375,24H,20uM,train,24.0,20.0,1.3010299956639813,train
29,3678,L1000,L1000::AS-703026::A375::::24H::0.08uM::REP.B008::P04::BRD-K89014967,AS-703026; Pimasertib,A375,24H,0.08uM,train,24.0,0.08,-1.0969100130080565,train
30,4764,L1000,L1000::YM-155::A375::::24H::0.03uM::REP.B008::H17::BRD-K76703230,YM-155,A375,24H,0.03uM,train,24.0,0.03,-1.5228787452803376,validation
31,427,L1000,L1000::bortezomib::HT29::::24H::10uM::PBIOA018::O03::BRD-K88510285,Bortezomib,HT29,24H,10uM,train,24.0,10.0,1.0,train
33,3007,L1000,L1000::JQ1-(+)::HT29::::24H::10uM::PBIOA018::H01::BRD-K54606188,BRD-K54606188; JQ1 compound,HT29,24H,10uM,train,24.0,10.0,1.0,test
35,1322,L1000,L1000::vinblastine::HT29::::24H::0.125uM::PBIOA018::I23::BRD-K01188359,Vinblastine; vinblastine,HT29,24H,0.125uM,test,24.0,0.125,-0.9030899869919435,train
37,24117,L1000,"L1000::3-[(4R,5S)-5-[[1,3-benzodioxol-5-ylmethyl(methyl)amino]methyl]-2-[(2S)-1-hydroxypropan-2-yl]-4-methyl-1,1-dioxo-4,5-dihydro-3H-6,1$l^{6},2-benzoxathiazocin-8-yl]-N,N-dimethylbenzamide::HT29::::24H::0.37uM::PBIOA018::D04::BRD-K97168035","3-[(4R,5S)-5-[[1,3-benzodioxol-5-ylmethyl(methyl)amino]methyl]-2-[(2S)-1-hydroxypropan-2-yl]-4-methyl-1,1-dioxo-4,5-dihydro-3H-6,1$l^{6},2-benzoxathiazocin-8-yl]-N,N-dimethylbenzamide; BRD-K97168035",HT29,24H,0.37uM,train,24.0,0.37,-0.431798275933005,train
38,444,L1000,L1000::MG-132::HT29::::24H::10uM::PBIOA018::C20::BRD-K60230970,MG-132,HT29,24H,10uM,train,24.0,10.0,1.0,train
39,132,L1000,L1000::tanespimycin::HT29::::24H::10uM::PBIOA018::O04::BRD-A61304759,"Tanespimycin; [(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate",HT29,24H,10uM,train,24.0,10.0,1.0,train
40,3973,L1000,L1000::tivantinib::HT29::::24H::10uM::PBIOA018::H13::BRD-K33379087,Tivantinib; tivantinib,HT29,24H,10uM,train,24.0,10.0,1.0,validation
41,444,L1000,L1000::MG-132::HT29::::24H::10uM::PBIOA018::G17::BRD-K60230970,MG-132,HT29,24H,10uM,train,24.0,10.0,1.0,train
42,3825,L1000,"L1000::(1R,2S)-2-[[(1S)-1-[(1,3-dioxo-2-isoindolyl)methyl]-3,4-dihydro-1H-isoquinolin-2-yl]-oxomethyl]-1-cyclohexanecarboxylic acid::HT29::::24H::3.33uM::PBIOA018::K02::BRD-K93367411","(1R,2S)-2-[[(1S)-1-[(1,3-dioxo-2-isoindolyl)methyl]-3,4-dihydro-1H-isoquinolin-2-yl]-oxomethyl]-1-cyclohexanecarboxylic acid; BRD-K93367411",HT29,24H,3.33uM,train,24.0,3.33,0.5224442335063199,train
43,1322,L1000,L1000::vinblastine::HT29::::24H::1.11uM::PBIOA018::I21::BRD-K01188359,Vinblastine; vinblastine,HT29,24H,1.11uM,train,24.0,1.11,0.045322978786657475,train
44,444,L1000,L1000::MG-132::HT29::::24H::10uM::PBIOA018::K08::BRD-K60230970,MG-132,HT29,24H,10uM,train,24.0,10.0,1.0,train
45,789,L1000,L1000::volasertib::HT29::::24H::0.125uM::PBIOA018::M05::BRD-K69776681,Volasertib,HT29,24H,0.125uM,train,24.0,0.125,-0.9030899869919435,validation
46,706,L1000,L1000::withaferin-a::HT29::::24H::10uM::PBIOA018::G16::BRD-K88378636,Withaferin A; withaferin-a,HT29,24H,10uM,train,24.0,10.0,1.0,train
48,3973,L1000,L1000::tivantinib::HT29::::24H::1.11uM::PBIOA018::H15::BRD-K33379087,Tivantinib; tivantinib,HT29,24H,1.11uM,train,24.0,1.11,0.045322978786657475,validation
49,24151,L1000,L1000::RVE-VIII-11::HT29::::24H::10uM::PBIOA018::F19::BRD-K51966657,"(2R)-4-[(4S,5R)-2-[(2S)-1-hydroxypropan-2-yl]-4-methyl-5-[[methyl-[[4-(2-methylphenyl)phenyl]methyl]amino]methyl]-1,1-dioxo-4,5-dihydro-3H-6,1lambda6,2-benzoxathiazocin-8-yl]but-3-yn-2-ol; RVE-VIII-11",HT29,24H,10uM,train,24.0,10.0,1.0,train
50,427,L1000,L1000::bortezomib::HT29::::24H::10uM::PBIOA018::O06::BRD-K88510285,Bortezomib,HT29,24H,10uM,train,24.0,10.0,1.0,train
51,427,L1000,L1000::bortezomib::HT29::::24H::10uM::PBIOA018::C24::BRD-K88510285,Bortezomib,HT29,24H,10uM,val,24.0,10.0,1.0,train
52,24151,L1000,L1000::RVE-VIII-11::HT29::::24H::3.33uM::PBIOA018::F20::BRD-K51966657,"(2R)-4-[(4S,5R)-2-[(2S)-1-hydroxypropan-2-yl]-4-methyl-5-[[methyl-[[4-(2-methylphenyl)phenyl]methyl]amino]methyl]-1,1-dioxo-4,5-dihydro-3H-6,1lambda6,2-benzoxathiazocin-8-yl]but-3-yn-2-ol; RVE-VIII-11",HT29,24H,3.33uM,train,24.0,3.33,0.5224442335063199,train
55,444,L1000,L1000::MG-132::HT29::::24H::10uM::PBIOA018::O05::BRD-K60230970,MG-132,HT29,24H,10uM,train,24.0,10.0,1.0,train
56,6380,L1000,"L1000::4-(dimethylamino)-N-[[(3R,9R,10R)-12-[(2S)-1-hydroxypropan-2-yl]-3,10-dimethyl-13-oxo-16-[[oxo-(propan-2-ylamino)methyl]amino]-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-9-yl]methyl]-N-methylbutanamide::HT29::::24H::0.04uM::PBIOA018::M18::BRD-K66221011","4-(dimethylamino)-N-[[(3R,9R,10R)-12-[(2S)-1-hydroxypropan-2-yl]-3,10-dimethyl-13-oxo-16-[[oxo-(propan-2-ylamino)methyl]amino]-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-9-yl]methyl]-N-methylbutanamide; BRD-K66221011",HT29,24H,0.04uM,val,24.0,0.04,-1.3979400086720375,train
57,24117,L1000,"L1000::3-[(4R,5S)-5-[[1,3-benzodioxol-5-ylmethyl(methyl)amino]methyl]-2-[(2S)-1-hydroxypropan-2-yl]-4-methyl-1,1-dioxo-4,5-dihydro-3H-6,1$l^{6},2-benzoxathiazocin-8-yl]-N,N-dimethylbenzamide::HT29::::24H::10uM::PBIOA018::D01::BRD-K97168035","3-[(4R,5S)-5-[[1,3-benzodioxol-5-ylmethyl(methyl)amino]methyl]-2-[(2S)-1-hydroxypropan-2-yl]-4-methyl-1,1-dioxo-4,5-dihydro-3H-6,1$l^{6},2-benzoxathiazocin-8-yl]-N,N-dimethylbenzamide; BRD-K97168035",HT29,24H,10uM,train,24.0,10.0,1.0,train
59,444,L1000,L1000::MG-132::HT29::::24H::10uM::PBIOA018::G14::BRD-K60230970,MG-132,HT29,24H,10uM,train,24.0,10.0,1.0,train
60,1322,L1000,L1000::vinblastine::HT29::::24H::0.37uM::PBIOA018::I22::BRD-K01188359,Vinblastine; vinblastine,HT29,24H,0.37uM,test,24.0,0.37,-0.431798275933005,train
61,1322,L1000,L1000::vinblastine::HT29::::24H::0.04uM::PBIOA018::I24::BRD-K01188359,Vinblastine; vinblastine,HT29,24H,0.04uM,train,24.0,0.04,-1.3979400086720375,train
62,2277,L1000,L1000::doxorubicin::HT29::::24H::0.04uM::PBIOA018::O12::BRD-K92093830,"(7R,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; doxorubicin",HT29,24H,0.04uM,test,24.0,0.04,-1.3979400086720375,validation
63,3833,L1000,"L1000::(1s,2r)-2-{[(1s)-1-[(1,3-Dioxo-1,3-Dihydro-2h-Isoindol-2-Yl)methyl]-3,4-Dihydroisoquinolin-2(1h)-Yl]carbonyl}cyclohexanecarboxylic Acid::HT29::::24H::1.11uM::PBIOA018::L03::BRD-K98948170","(1s,2r)-2-{[(1s)-1-[(1,3-Dioxo-1,3-Dihydro-2h-Isoindol-2-Yl)methyl]-3,4-Dihydroisoquinolin-2(1h)-Yl]carbonyl}cyclohexanecarboxylic Acid; BRD-K98948170",HT29,24H,1.11uM,train,24.0,1.11,0.045322978786657475,train
64,3007,L1000,L1000::JQ1-(+)::HT29::::24H::0.37uM::PBIOA018::H04::BRD-K54606188,BRD-K54606188; JQ1 compound,HT29,24H,0.37uM,train,24.0,0.37,-0.431798275933005,test
65,3444,L1000,L1000::buparlisib::HT29::::24H::10uM::PBIOA018::N01::BRD-K42191735,Buparlisib; buparlisib,HT29,24H,10uM,train,24.0,10.0,1.0,train
67,1322,L1000,L1000::vinblastine::HT29::::24H::3.33uM::PBIOA018::I20::BRD-K01188359,Vinblastine; vinblastine,HT29,24H,3.33uM,train,24.0,3.33,0.5224442335063199,train
68,24144,L1000,"L1000::(2S)-2-[(4S,5S)-4-methyl-8-(4-methylphenyl)-5-[[methyl(5-pyrimidinylmethyl)amino]methyl]-1,1-dioxo-4,5-dihydro-3H-6,1$l^{6},2-benzoxathiazocin-2-yl]-1-propanol::HT29::::24H::10uM::PBIOA018::O19::BRD-K84110809","(2S)-2-[(4S,5S)-4-methyl-8-(4-methylphenyl)-5-[[methyl(5-pyrimidinylmethyl)amino]methyl]-1,1-dioxo-4,5-dihydro-3H-6,1$l^{6},2-benzoxathiazocin-2-yl]-1-propanol; BRD-K84110809",HT29,24H,10uM,train,24.0,10.0,1.0,test
69,267,L1000,L1000::paclitaxel::HT29::::24H::10uM::PBIOA018::E19::BRD-K62008436,"[(1S,2S,3S,4S,7S,9S,10S,12R,15S)-4,12-diacetyloxy-15-[(2R,3S)-3-benzamido-2-hydroxy-3-phenylpropanoyl]oxy-1,9-dihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate; paclitaxel",HT29,24H,10uM,train,24.0,10.0,1.0,train
70,639,L1000,L1000::tamoxifen::HT29::::24H::10uM::PBIOA018::J19::BRD-K93754473,4-Hydroxytamoxifen; tamoxifen,HT29,24H,10uM,train,24.0,10.0,1.0,train
72,4018,L1000,L1000::mitoxantrone::HT29::::24H::10uM::PBIOA018::C22::BRD-K21680192,Mitoxantrone; mitoxantrone,HT29,24H,10uM,train,24.0,10.0,1.0,validation
73,267,L1000,L1000::paclitaxel::HT29::::24H::0.37uM::PBIOA018::E22::BRD-K62008436,"[(1S,2S,3S,4S,7S,9S,10S,12R,15S)-4,12-diacetyloxy-15-[(2R,3S)-3-benzamido-2-hydroxy-3-phenylpropanoyl]oxy-1,9-dihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate; paclitaxel",HT29,24H,0.37uM,val,24.0,0.37,-0.431798275933005,train
74,427,L1000,L1000::bortezomib::HT29::::24H::10uM::PBIOA018::G18::BRD-K88510285,Bortezomib,HT29,24H,10uM,train,24.0,10.0,1.0,train
76,3444,L1000,L1000::buparlisib::HT29::::24H::3.33uM::PBIOA018::N02::BRD-K42191735,Buparlisib; buparlisib,HT29,24H,3.33uM,train,24.0,3.33,0.5224442335063199,train
77,789,L1000,L1000::volasertib::HT29::::24H::0.37uM::PBIOA018::M04::BRD-K69776681,Volasertib,HT29,24H,0.37uM,train,24.0,0.37,-0.431798275933005,validation
78,1553,L1000,L1000::SGI-1776::HT29::::24H::10uM::PBIOA018::H19::BRD-K80700417,"N-[(1-methylpiperidin-4-yl)methyl]-3-[3-(trifluoromethoxy)phenyl]imidazo[1,2-b]pyridazin-6-amine; SGI-1776",HT29,24H,10uM,test,24.0,10.0,1.0,train
80,427,L1000,L1000::bortezomib::HT29::::24H::10uM::PBIOA018::C21::BRD-K88510285,Bortezomib,HT29,24H,10uM,train,24.0,10.0,1.0,train
81,3973,L1000,L1000::tivantinib::HT29::::24H::3.33uM::PBIOA018::H14::BRD-K33379087,Tivantinib; tivantinib,HT29,24H,3.33uM,train,24.0,3.33,0.5224442335063199,validation
82,1827,L1000,L1000::geldanamycin::HT29::::24H::10uM::PBIOA018::G13::BRD-K11528507,Geldanamycin; geldanamycin,HT29,24H,10uM,test,24.0,10.0,1.0,train
85,789,L1000,L1000::volasertib::HT29::::24H::0.04uM::PBIOA018::M06::BRD-K69776681,Volasertib,HT29,24H,0.04uM,test,24.0,0.04,-1.3979400086720375,validation
87,24117,L1000,"L1000::3-[(4R,5S)-5-[[1,3-benzodioxol-5-ylmethyl(methyl)amino]methyl]-2-[(2S)-1-hydroxypropan-2-yl]-4-methyl-1,1-dioxo-4,5-dihydro-3H-6,1$l^{6},2-benzoxathiazocin-8-yl]-N,N-dimethylbenzamide::HT29::::24H::3.33uM::PBIOA018::D02::BRD-K97168035","3-[(4R,5S)-5-[[1,3-benzodioxol-5-ylmethyl(methyl)amino]methyl]-2-[(2S)-1-hydroxypropan-2-yl]-4-methyl-1,1-dioxo-4,5-dihydro-3H-6,1$l^{6},2-benzoxathiazocin-8-yl]-N,N-dimethylbenzamide; BRD-K97168035",HT29,24H,3.33uM,test,24.0,3.33,0.5224442335063199,train
88,3007,L1000,L1000::JQ1-(+)::HT29::::24H::1.11uM::PBIOA018::H03::BRD-K54606188,BRD-K54606188; JQ1 compound,HT29,24H,1.11uM,train,24.0,1.11,0.045322978786657475,test
93,1316,L1000,L1000::idelalisib::HT29::::24H::10uM::PBIOA018::I07::BRD-K60866521,5-fluoro-3-phenyl-2-[(1S)-1-(7H-purin-6-ylamino)propyl]quinazolin-4-one; Idelalisib; idelalisib,HT29,24H,10uM,train,24.0,10.0,1.0,train
94,427,L1000,L1000::bortezomib::HT29::::24H::10uM::PBIOA018::G15::BRD-K88510285,Bortezomib,HT29,24H,10uM,train,24.0,10.0,1.0,train
96,3007,L1000,L1000::JQ1-(+)::HT29::::24H::0.04uM::PBIOA018::H06::BRD-K54606188,BRD-K54606188; JQ1 compound,HT29,24H,0.04uM,train,24.0,0.04,-1.3979400086720375,test
97,789,L1000,L1000::volasertib::HT29::::24H::1.11uM::PBIOA018::M03::BRD-K69776681,Volasertib,HT29,24H,1.11uM,test,24.0,1.11,0.045322978786657475,validation
98,1316,L1000,L1000::idelalisib::HT29::::24H::3.33uM::PBIOA018::I08::BRD-K60866521,5-fluoro-3-phenyl-2-[(1S)-1-(7H-purin-6-ylamino)propyl]quinazolin-4-one; Idelalisib; idelalisib,HT29,24H,3.33uM,train,24.0,3.33,0.5224442335063199,train
99,2277,L1000,L1000::doxorubicin::HT29::::24H::0.37uM::PBIOA018::O10::BRD-K92093830,"(7R,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; doxorubicin",HT29,24H,0.37uM,train,24.0,0.37,-0.431798275933005,validation
100,2277,L1000,L1000::doxorubicin::HT29::::24H::0.125uM::PBIOA018::O11::BRD-K92093830,"(7R,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; doxorubicin",HT29,24H,0.125uM,train,24.0,0.125,-0.9030899869919435,validation
101,2277,L1000,L1000::doxorubicin::HT29::::24H::10uM::PBIOA018::O07::BRD-K92093830,"(7R,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; doxorubicin",HT29,24H,10uM,train,24.0,10.0,1.0,validation
102,1322,L1000,L1000::vinblastine::HT29::::24H::10uM::PBIOA018::I19::BRD-K01188359,Vinblastine; vinblastine,HT29,24H,10uM,train,24.0,10.0,1.0,train
104,789,L1000,L1000::volasertib::HT29::::24H::3.33uM::PBIOA018::M02::BRD-K69776681,Volasertib,HT29,24H,3.33uM,train,24.0,3.33,0.5224442335063199,validation
105,789,L1000,L1000::volasertib::HT29::::24H::10uM::PBIOA018::M01::BRD-K69776681,Volasertib,HT29,24H,10uM,train,24.0,10.0,1.0,validation
106,427,L1000,L1000::bortezomib::HT29::::24H::10uM::PBIOA018::K12::BRD-K88510285,Bortezomib,HT29,24H,10uM,train,24.0,10.0,1.0,train
109,592,L1000,L1000::trichostatin-a::HT29::::24H::10uM::PBIOA018::C19::BRD-A19037878,BRD-K68202742; Trichostatin A,HT29,24H,10uM,train,24.0,10.0,1.0,validation
110,2277,L1000,L1000::doxorubicin::HT29::::24H::1.11uM::PBIOA018::O09::BRD-K92093830,"(7R,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; doxorubicin",HT29,24H,1.11uM,test,24.0,1.11,0.045322978786657475,validation
111,2277,L1000,L1000::doxorubicin::HT29::::24H::3.33uM::PBIOA018::O08::BRD-K92093830,"(7R,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; doxorubicin",HT29,24H,3.33uM,train,24.0,3.33,0.5224442335063199,validation
112,3007,L1000,L1000::JQ1-(+)::HT29::::24H::3.33uM::PBIOA018::H02::BRD-K54606188,BRD-K54606188; JQ1 compound,HT29,24H,3.33uM,test,24.0,3.33,0.5224442335063199,test
114,24197,L1000,"L1000::N-[(1R,3S,4aR,9aS)-1-(hydroxymethyl)-3-[2-(4-morpholinyl)-2-oxoethyl]-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-6-yl]-3-pyridinecarboxamide::MCF7::::24H::1.11uM::PBIOA013::I21::BRD-K37132815","BRD-K37132815; N-[(1R,3S,4aR,9aS)-1-(hydroxymethyl)-3-[2-(4-morpholinyl)-2-oxoethyl]-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-6-yl]-3-pyridinecarboxamide",MCF7,24H,1.11uM,train,24.0,1.11,0.045322978786657475,train
115,24076,L1000,"L1000::1-[(5R,6R,9S)-8-(2-cyclopropyl-1-oxoethyl)-5-methoxy-3,6,9-trimethyl-2-oxo-11-oxa-3,8-diazabicyclo[10.4.0]hexadeca-1(12),13,15-trien-14-yl]-3-propan-2-ylurea::MCF7::::24H::0.37uM::PBIOA013::B16::BRD-K23244363","1-[(5R,6R,9S)-8-(2-cyclopropyl-1-oxoethyl)-5-methoxy-3,6,9-trimethyl-2-oxo-11-oxa-3,8-diazabicyclo[10.4.0]hexadeca-1(12),13,15-trien-14-yl]-3-propan-2-ylurea; BRD-K23244363",MCF7,24H,0.37uM,train,24.0,0.37,-0.431798275933005,train
116,4663,L1000,L1000::GSK-690693::MCF7::::24H::10uM::PBIOA013::D01::BRD-K25325018,GSK-690693,MCF7,24H,10uM,train,24.0,10.0,1.0,train
117,24197,L1000,"L1000::N-[(1R,3S,4aR,9aS)-1-(hydroxymethyl)-3-[2-(4-morpholinyl)-2-oxoethyl]-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-6-yl]-3-pyridinecarboxamide::MCF7::::24H::0.37uM::PBIOA013::I22::BRD-K37132815","BRD-K37132815; N-[(1R,3S,4aR,9aS)-1-(hydroxymethyl)-3-[2-(4-morpholinyl)-2-oxoethyl]-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-6-yl]-3-pyridinecarboxamide",MCF7,24H,0.37uM,val,24.0,0.37,-0.431798275933005,train
118,444,L1000,L1000::MG-132::MCF7::::24H::10uM::PBIOA013::O05::BRD-K60230970,MG-132,MCF7,24H,10uM,val,24.0,10.0,1.0,train
119,427,L1000,L1000::bortezomib::MCF7::::24H::10uM::PBIOA013::C24::BRD-K88510285,Bortezomib,MCF7,24H,10uM,val,24.0,10.0,1.0,train
120,7273,L1000,L1000::CAM-9-027-3::MCF7::::24H::10uM::PBIOA013::F19::BRD-K45399554,"1-[(3S,9R,10R)-12-[(2S)-1-(dimethylamino)propan-2-yl]-9-[[(4-fluorophenyl)sulfonyl-methylamino]methyl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-phenylurea; CAM-9-027-3",MCF7,24H,10uM,val,24.0,10.0,1.0,train
