scaffold_id,murcko_scaffold,compound_embedding_row_index,compound_name,n_profiles,actual_predictability,predicted_predictability,moa_count,moa_annotations,absolute_error
Scaffold A,c1ccccc1,354,"2-Propenethioamide, 3-(3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl)-2-cyano-, (E)-; AG-879",22,0.7114427,0.79232585,1,Tyrosine kinase inhibitor,0.08088315000000001
Scaffold A,c1ccccc1,494,"4-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzene-1,2-diol; Isoproterenol; isoprenaline",20,0.83028996,0.7474802,2,Adrenergic receptor agonist; Beta-Adrenoceptor Agonists,0.08280975999999995
Scaffold A,c1ccccc1,1762,"BRD-K88741031; Methyl 2,5-dihydroxycinnamate; erbstatin-analog; methyl (E)-3-(2,5-dihydroxyphenyl)acrylate",20,0.74674225,0.7952843,2,EGFR inhibitor; Tyrosine kinase inhibitor,0.04854205
Scaffold A,c1ccccc1,2551,Ethylmercury thiosalicylate; thiomersal,20,0.812118,0.7718809,1,Other antibiotic,0.040237100000000026
Scaffold A,c1ccccc1,3220,Phenformin; phenformin,20,0.7744978,0.78544784,1,AMPK activator,0.010950039999999994
Scaffold B,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,251,Dexamethasone Acetate; dexamethasone,334,0.8323172,0.9052108,1,Glucocorticoid receptor agonist,0.0728936
Scaffold B,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,692,Triamcinolone,190,0.77153456,0.8604304,1,Glucocorticoid receptor agonist,0.08889584000000006
Scaffold B,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,754,Clobetasol Propionate; Clobetasol propionate,144,0.8622893,0.8598217,1,Glucocorticoid receptor agonist,0.0024676000000000142
Scaffold B,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,755,Betamethasone Dipropionate; Betamethasone dipropionate,141,0.7509124,0.8758499,1,Anti-inflammatory agent,0.12493749999999992
Scaffold B,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,721,Methylprednisolone Succinate; Methylprednisolone succinate,137,0.8157657,0.85174733,1,Glucocorticoid receptor agonist,0.03598162999999999
Scaffold B,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,760,Clobetasol Propionate; clobetasol,62,0.93696475,0.8318402,1,Glucocorticoid receptor agonist,0.10512454999999998
Scaffold B,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,756,Beclomethasone Dipropionate; beclomethasone-dipropionate,55,0.78777623,0.8434893,2,Glucocorticoid receptor agonist; Immunosuppressant,0.05571307000000003
Scaffold B,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,762,Fluticasone Propionate; fluticasone-propionate,53,0.90529895,0.8840521,1,Glucocorticoid receptor agonist,0.02124685000000004
Scaffold B,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,764,"(8S,9S,10R,11S,13S,14R,16R,17S)-11-hydroxy-10,13,16,17-tetramethyl-17-propanoyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one; rimexolone",39,0.82233113,0.8413459,1,Glucocorticoid receptor agonist,0.01901476999999996
Scaffold B,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,2491,"(6S,8S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-6,10,13-trimethyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one; methylprednisolone",37,0.91151184,0.8195351,1,Glucocorticoid receptor agonist,0.09197674
Scaffold B,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,284,"(6S,9R,11S,13S,17R)-17-acetyl-9-fluoro-11,17-dihydroxy-6,10,13-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one; BRD-A13133631",32,0.8192922,0.8598019,1,Glucocorticoid receptor agonist,0.04050969999999998
Scaffold B,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,2508,"(8S,9S,10R,11S,13S,14R,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one; prednisolone",28,0.8004257,0.8516432,1,Glucocorticoid receptor agonist,0.05121750000000003
Scaffold B,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,722,"6,9-difluoro-11-hydroxy-17-(3-hydroxy-2-oxopropyl)-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthrene-17-carbothioic acid S-(fluoromethyl) ester; fluticasone",21,0.9019079,0.8659023,1,Glucocorticoid receptor agonist,0.03600559999999997
Scaffold B,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,250,Pharmakon1600-01500231; dexamethasone-acetate,21,0.923443,0.8221884,3,Corticosteroid agonist; Cytochrome P450 inhibitor; Glucocorticoid receptor agonist,0.10125459999999997
