compound_embedding_row_index,compound_name,model_prediction_group,moa,moa_annotation
155,Tirabrutinib,Least predictable,Bruton's tyrosine kinase (BTK) inhibitor; inhibitor/antagonist,inhibitor/antagonist
5192,"5-((6-([1,1'-biphenyl]-4-yl)-5-chloro-1H-benzo[d]imidazol-2-yl)oxy)-2-methylbenzoic acid; MK-3903",Least predictable,activator/agonist,activator/agonist
5210,Niclosamide (olamine); Niclosamide ethanolamine salt,Most predictable,inhibitor/antagonist,inhibitor/antagonist
5518,Ouabain (Octahydrate); Ouabain Octahydrate,Most predictable,unclear,unclear
5199,Clonidine (hydrochloride); Clonidine Hydrochloride,Least predictable,activator/agonist; adrenergic receptor agonist,activator/agonist
5199,Clonidine (hydrochloride); Clonidine Hydrochloride,Least predictable,activator/agonist; adrenergic receptor agonist,adrenergic receptor agonist
5157,Lidocaine (hydrochloride); Lidocaine Hydrochloride,Least predictable,histamine receptor agonist; unclear,histamine receptor agonist
5157,Lidocaine (hydrochloride); Lidocaine Hydrochloride,Least predictable,histamine receptor agonist; unclear,unclear
4096,Daidzin,Most predictable,antioxidant; inhibitor/antagonist,antioxidant
4096,Daidzin,Most predictable,antioxidant; inhibitor/antagonist,inhibitor/antagonist
4076,"5-Fluorouracil; 5-fluoro-1H-pyrimidine-2,4-dione",Least predictable,thymidylate synthase; thymidylate synthase inhibitor,thymidylate synthase
4076,"5-Fluorouracil; 5-fluoro-1H-pyrimidine-2,4-dione",Least predictable,thymidylate synthase; thymidylate synthase inhibitor,thymidylate synthase inhibitor
5146,"2-Pyridinamine, 3-((1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy)-5-(1-(4-piperidinyl)-1H-pyrazol-4-yl)-, hydrochloride (1:1); Crizotinib (hydrochloride)",Most predictable,ALK tyrosine kinase receptor inhibitor; inhibitor/antagonist,ALK tyrosine kinase receptor inhibitor
5146,"2-Pyridinamine, 3-((1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy)-5-(1-(4-piperidinyl)-1H-pyrazol-4-yl)-, hydrochloride (1:1); Crizotinib (hydrochloride)",Most predictable,ALK tyrosine kinase receptor inhibitor; inhibitor/antagonist,inhibitor/antagonist
4,Quinestrol,Most predictable,estrogen receptor agonist; unclear,estrogen receptor agonist
4,Quinestrol,Most predictable,estrogen receptor agonist; unclear,unclear
1834,Artemether,Most predictable,antimalarial agent; unclear,antimalarial agent
1834,Artemether,Most predictable,antimalarial agent; unclear,unclear
5151,Pravastatin (sodium); Pravastatin Sodium,Most predictable,HMGCR inhibitor; inhibitor/antagonist,HMGCR inhibitor
5151,Pravastatin (sodium); Pravastatin Sodium,Most predictable,HMGCR inhibitor; inhibitor/antagonist,inhibitor/antagonist
721,Methylprednisolone Succinate; Methylprednisolone succinate,Most predictable,glucocorticoid receptor agonist; unclear,glucocorticoid receptor agonist
721,Methylprednisolone Succinate; Methylprednisolone succinate,Most predictable,glucocorticoid receptor agonist; unclear,unclear
2900,Radotinib,Least predictable,Bcr-Abl kinase inhibitor; inhibitor/antagonist,Bcr-Abl kinase inhibitor
2900,Radotinib,Least predictable,Bcr-Abl kinase inhibitor; inhibitor/antagonist,inhibitor/antagonist
322,Finasteride,Most predictable,5 alpha reductase inhibitor; inhibitor/antagonist,5 alpha reductase inhibitor
322,Finasteride,Most predictable,5 alpha reductase inhibitor; inhibitor/antagonist,inhibitor/antagonist
5155,Fingolimod (hydrochloride); Fingolimod Hydrochloride,Least predictable,immunosuppressant | sphingosine 1-phosphate receptor agonist; unclear,immunosuppressant | sphingosine 1-phosphate receptor agonist
5155,Fingolimod (hydrochloride); Fingolimod Hydrochloride,Least predictable,immunosuppressant | sphingosine 1-phosphate receptor agonist; unclear,unclear
3558,Adenine,Least predictable,protein synthesis stimulant; unclear,protein synthesis stimulant
3558,Adenine,Least predictable,protein synthesis stimulant; unclear,unclear
5523,Methyl Aminolevulinate Hydrochloride; Methyl aminolevulinate (hydrochloride),Least predictable,unclear,unclear
5153,Vinblastine (sulfate); Vinblastine Sulfate,Most predictable,inhibitor/antagonist; microtubule inhibitor | tubulin polymerization inhibitor,inhibitor/antagonist
5153,Vinblastine (sulfate); Vinblastine Sulfate,Most predictable,inhibitor/antagonist; microtubule inhibitor | tubulin polymerization inhibitor,microtubule inhibitor | tubulin polymerization inhibitor
3315,Capivasertib,Most predictable,AKT inhibitor; inhibitor/antagonist,AKT inhibitor
3315,Capivasertib,Most predictable,AKT inhibitor; inhibitor/antagonist,inhibitor/antagonist
5202,L-Eflornithine (monohydrochloride),Least predictable,inhibitor/antagonist,inhibitor/antagonist
5187,Lapatinib Ditosylate; Lapatinib ditosylate,Least predictable,inhibitor/antagonist,inhibitor/antagonist
5521,"2-Naphthacenecarboxamide, 4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-, hydrochloride (1:1), (4S,4aS,5aS,6S,12aS)-; Tetracycline (hydrochloride)",Most predictable,bacterial 30S ribosomal subunit inhibitor; unclear,bacterial 30S ribosomal subunit inhibitor
5521,"2-Naphthacenecarboxamide, 4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-, hydrochloride (1:1), (4S,4aS,5aS,6S,12aS)-; Tetracycline (hydrochloride)",Most predictable,bacterial 30S ribosomal subunit inhibitor; unclear,unclear
5535,Gallic acid (hydrate); Gallic acid monohydrate,Least predictable,inhibitor/antagonist,inhibitor/antagonist
5411,Ligustrazine; Tetramethylpyrazine,Least predictable,unclear,unclear
4777,bergenin,Most predictable,Interleukin inhibitor,Interleukin inhibitor
609,Captopril,Least predictable,angiotensin converting enzyme inhibitor; inhibitor/antagonist,angiotensin converting enzyme inhibitor
609,Captopril,Least predictable,angiotensin converting enzyme inhibitor; inhibitor/antagonist,inhibitor/antagonist
5159,NG-25; NG25,Least predictable,inhibitor/antagonist,inhibitor/antagonist
5149,Rutin (trihydrate); Rutin trihydrate,Most predictable,antioxidant | capillary stabilizing agent | nitric oxide scavenger; unclear,antioxidant | capillary stabilizing agent | nitric oxide scavenger
5149,Rutin (trihydrate); Rutin trihydrate,Most predictable,antioxidant | capillary stabilizing agent | nitric oxide scavenger; unclear,unclear
5401,Methylthiouracil,Least predictable,unclear,unclear
696,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid; Retinoic Acid",Least predictable,Retinoid RORbeta Ligands; retinoid receptor agonist | retinoid receptor ligand,Retinoid RORbeta Ligands
696,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid; Retinoic Acid",Least predictable,Retinoid RORbeta Ligands; retinoid receptor agonist | retinoid receptor ligand,retinoid receptor agonist | retinoid receptor ligand
616,Darolutamide,Least predictable,androgen receptor antagonist; inhibitor/antagonist,androgen receptor antagonist
616,Darolutamide,Least predictable,androgen receptor antagonist; inhibitor/antagonist,inhibitor/antagonist
1750,Dimethyl Fumarate; dimethyl (E)-but-2-enedioate,Least predictable,"NF-kappaB (NFKB) Activation Inhibitors;Nuclear Factor, Erythroid Derived 2, Like 2 (Nrf2) Activators;Kelch-like ECH-Associated Protein 1 (Keap1, INrf2) Ligands; nuclear factor erythroid derived, like (NRF2) activator","Kelch-like ECH-Associated Protein 1 (Keap1, INrf2) Ligands"
1750,Dimethyl Fumarate; dimethyl (E)-but-2-enedioate,Least predictable,"NF-kappaB (NFKB) Activation Inhibitors;Nuclear Factor, Erythroid Derived 2, Like 2 (Nrf2) Activators;Kelch-like ECH-Associated Protein 1 (Keap1, INrf2) Ligands; nuclear factor erythroid derived, like (NRF2) activator",NF-kappaB (NFKB) Activation Inhibitors
1750,Dimethyl Fumarate; dimethyl (E)-but-2-enedioate,Least predictable,"NF-kappaB (NFKB) Activation Inhibitors;Nuclear Factor, Erythroid Derived 2, Like 2 (Nrf2) Activators;Kelch-like ECH-Associated Protein 1 (Keap1, INrf2) Ligands; nuclear factor erythroid derived, like (NRF2) activator","Nuclear Factor, Erythroid Derived 2, Like 2 (Nrf2) Activators"
1750,Dimethyl Fumarate; dimethyl (E)-but-2-enedioate,Least predictable,"NF-kappaB (NFKB) Activation Inhibitors;Nuclear Factor, Erythroid Derived 2, Like 2 (Nrf2) Activators;Kelch-like ECH-Associated Protein 1 (Keap1, INrf2) Ligands; nuclear factor erythroid derived, like (NRF2) activator","nuclear factor erythroid derived, like (NRF2) activator"
5188,Nafamostat (mesylate); Nafamostat Mesylate,Least predictable,inhibitor/antagonist; serine protease inhibitor,inhibitor/antagonist
5188,Nafamostat (mesylate); Nafamostat Mesylate,Least predictable,inhibitor/antagonist; serine protease inhibitor,serine protease inhibitor
5520,"(2S)-N-(2,6-dimethylphenyl)-1-propyl-2-piperidinecarboxamide hydrochloride monohydrate; Ropivacaine (hydrochloride monohydrate)",Least predictable,inhibitor/antagonist,inhibitor/antagonist
4072,"5-[(E)-2-bromoethenyl]-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione; Brivudine",Most predictable,DNA directed DNA polymerase inhibitor; Heat Shock Protein 27 (hsp27) Inhibitors;Reverse Transcriptase Inhibitors,DNA directed DNA polymerase inhibitor
4072,"5-[(E)-2-bromoethenyl]-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione; Brivudine",Most predictable,DNA directed DNA polymerase inhibitor; Heat Shock Protein 27 (hsp27) Inhibitors;Reverse Transcriptase Inhibitors,Heat Shock Protein 27 (hsp27) Inhibitors
4072,"5-[(E)-2-bromoethenyl]-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione; Brivudine",Most predictable,DNA directed DNA polymerase inhibitor; Heat Shock Protein 27 (hsp27) Inhibitors;Reverse Transcriptase Inhibitors,Reverse Transcriptase Inhibitors
5203,Cysteamine (hydrochloride); Cysteamine Hydrochloride,Least predictable,tissue transglutaminase inhibitor; unclear,tissue transglutaminase inhibitor
5203,Cysteamine (hydrochloride); Cysteamine Hydrochloride,Least predictable,tissue transglutaminase inhibitor; unclear,unclear
5162,Irinotecan (hydrochloride); Irinotecan Hydrochloride,Most predictable,inhibitor/antagonist; topoisomerase inhibitor,inhibitor/antagonist
5162,Irinotecan (hydrochloride); Irinotecan Hydrochloride,Most predictable,inhibitor/antagonist; topoisomerase inhibitor,topoisomerase inhibitor
755,Betamethasone Dipropionate; Betamethasone dipropionate,Most predictable,activator/agonist; anti-inflammatory agent,activator/agonist
755,Betamethasone Dipropionate; Betamethasone dipropionate,Most predictable,activator/agonist; anti-inflammatory agent,anti-inflammatory agent
5281,Artesunate,Most predictable,DNA synthesis inhibitor; inhibitor/antagonist,DNA synthesis inhibitor
5281,Artesunate,Most predictable,DNA synthesis inhibitor; inhibitor/antagonist,inhibitor/antagonist
5517,Diammonium Glycyrrhizinate,Most predictable,unclear,unclear
3793,5-[(3R)-dithiolan-3-yl]pentanoic acid; Lipoic acid,Least predictable,Pyruvate Dehydrogenase Activators,Pyruvate Dehydrogenase Activators
5514,Acetomenaphthone; Vitamin K4,Least predictable,unclear,unclear
5156,"2-Piperidinecarboxamide, 1-butyl-N-(2,6-dimethylphenyl)-, hydrochloride (1:1), (2S)-; Levobupivacaine (hydrochloride)",Least predictable,inhibitor/antagonist; voltage-gated potassium channel blocker,inhibitor/antagonist
5156,"2-Piperidinecarboxamide, 1-butyl-N-(2,6-dimethylphenyl)-, hydrochloride (1:1), (2S)-; Levobupivacaine (hydrochloride)",Least predictable,inhibitor/antagonist; voltage-gated potassium channel blocker,voltage-gated potassium channel blocker
694,Drospirenone,Most predictable,mineralocorticoid receptor antagonist; unclear,mineralocorticoid receptor antagonist
694,Drospirenone,Most predictable,mineralocorticoid receptor antagonist; unclear,unclear
4684,methotrexate,Most predictable,Dihydrofolate reductase inhibitor,Dihydrofolate reductase inhibitor
5171,Esmolol (hydrochloride); Esmolol Hydrochloride,Least predictable,adrenergic receptor antagonist; inhibitor/antagonist,adrenergic receptor antagonist
5171,Esmolol (hydrochloride); Esmolol Hydrochloride,Least predictable,adrenergic receptor antagonist; inhibitor/antagonist,inhibitor/antagonist
5537,Fumaric Acid; Fumaric acid,Least predictable,inhibitor/antagonist,inhibitor/antagonist
5516,Bestatin (hydrochloride); Ubenimex hydrochloride,Most predictable,inhibitor/antagonist,inhibitor/antagonist
5519,Oleic Acid; Oleic acid,Least predictable,activator/agonist,activator/agonist
5205,Riluzole hydrochloride,Least predictable,glutamate inhibitor; inhibitor/antagonist,glutamate inhibitor
5205,Riluzole hydrochloride,Least predictable,glutamate inhibitor; inhibitor/antagonist,inhibitor/antagonist
5169,Phenylephrine (hydrochloride); Phenylephrine Hydrochloride,Least predictable,activator/agonist; adrenergic receptor agonist,activator/agonist
5169,Phenylephrine (hydrochloride); Phenylephrine Hydrochloride,Least predictable,activator/agonist; adrenergic receptor agonist,adrenergic receptor agonist
5485,Idoxuridine,Most predictable,DNA directed DNA polymerase inhibitor | DNA synthesis inhibitor; unclear,DNA directed DNA polymerase inhibitor | DNA synthesis inhibitor
5485,Idoxuridine,Most predictable,DNA directed DNA polymerase inhibitor | DNA synthesis inhibitor; unclear,unclear
161,"(8S,11R,13S,14R,17S)-11-[4-(dimethylamino)phenyl]-17-hydroxy-13-methyl-17-prop-1-ynyl-1,2,6,7,8,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-3-one; mifepristone",Most predictable,"Glucocorticoid receptor antagonist, Progesterone receptor antagonist; glucocorticoid receptor antagonist | progesterone receptor antagonist","Glucocorticoid receptor antagonist, Progesterone receptor antagonist"
161,"(8S,11R,13S,14R,17S)-11-[4-(dimethylamino)phenyl]-17-hydroxy-13-methyl-17-prop-1-ynyl-1,2,6,7,8,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-3-one; mifepristone",Most predictable,"Glucocorticoid receptor antagonist, Progesterone receptor antagonist; glucocorticoid receptor antagonist | progesterone receptor antagonist",glucocorticoid receptor antagonist | progesterone receptor antagonist
2733,Sulfatinib; Surufatinib,Least predictable,inhibitor/antagonist; tyrosine kinase inhibitor,inhibitor/antagonist
2733,Sulfatinib; Surufatinib,Least predictable,inhibitor/antagonist; tyrosine kinase inhibitor,tyrosine kinase inhibitor
5218,Sodium Salicylate,Least predictable,inhibitor/antagonist,inhibitor/antagonist
412,Acyclic retinoid; Peretinoin,Least predictable,retinoid receptor agonist; unclear,retinoid receptor agonist
412,Acyclic retinoid; Peretinoin,Least predictable,retinoid receptor agonist; unclear,unclear
5466,"Oxaliplatin; cis-oxalato-trans-l-1,2-diaminocyclohexaneplatinum(II)",Least predictable,DNA inhibitor; inhibitor/antagonist,DNA inhibitor
5466,"Oxaliplatin; cis-oxalato-trans-l-1,2-diaminocyclohexaneplatinum(II)",Least predictable,DNA inhibitor; inhibitor/antagonist,inhibitor/antagonist
5201,Noradrenaline hydrochloride; Norepinephrine (hydrochloride),Least predictable,activator/agonist; adrenergic receptor agonist,activator/agonist
5201,Noradrenaline hydrochloride; Norepinephrine (hydrochloride),Least predictable,activator/agonist; adrenergic receptor agonist,adrenergic receptor agonist
771,Ivermectin; Ivermectin B1a,Most predictable,benzodiazepine receptor agonist; unclear,benzodiazepine receptor agonist
771,Ivermectin; Ivermectin B1a,Most predictable,benzodiazepine receptor agonist; unclear,unclear
2091,AZD-8055; Azd8055,Most predictable,inhibitor/antagonist; mTOR inhibitor,inhibitor/antagonist
2091,AZD-8055; Azd8055,Most predictable,inhibitor/antagonist; mTOR inhibitor,mTOR inhibitor
5511,Lactate (calcium),Least predictable,unclear,unclear
1764,Homoharringtonine; Omacetaxine Mepesuccinate,Most predictable,inhibitor/antagonist; protein synthesis inhibitor,inhibitor/antagonist
1764,Homoharringtonine; Omacetaxine Mepesuccinate,Most predictable,inhibitor/antagonist; protein synthesis inhibitor,protein synthesis inhibitor
692,Triamcinolone,Most predictable,glucocorticoid receptor agonist; unclear,glucocorticoid receptor agonist
692,Triamcinolone,Most predictable,glucocorticoid receptor agonist; unclear,unclear
4302,cyclosporin-a,Most predictable,Calcineurin inhibitor,Calcineurin inhibitor
734,Digitoxin,Most predictable,ATPase inhibitor; unclear,ATPase inhibitor
734,Digitoxin,Most predictable,ATPase inhibitor; unclear,unclear
1916,"[(1S,2R,4S)-4-[(2R)-2-[(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32R,35R)-1,18-dihydroxy-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-2,3,10,14,20-pentaoxo-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraen-12-yl]propyl]-2-methoxycyclohexyl] 3-hydroxy-2-(hydroxymethyl)-2-methylpropanoate; temsirolimus",Most predictable,MTOR inhibitor; mTOR inhibitor,MTOR inhibitor
1916,"[(1S,2R,4S)-4-[(2R)-2-[(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32R,35R)-1,18-dihydroxy-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-2,3,10,14,20-pentaoxo-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraen-12-yl]propyl]-2-methoxycyclohexyl] 3-hydroxy-2-(hydroxymethyl)-2-methylpropanoate; temsirolimus",Most predictable,MTOR inhibitor; mTOR inhibitor,mTOR inhibitor
1823,Mithramycin; Plicamycin,Most predictable,alcohol dehydrogenase inhibitor; inhibitor/antagonist,alcohol dehydrogenase inhibitor
1823,Mithramycin; Plicamycin,Most predictable,alcohol dehydrogenase inhibitor; inhibitor/antagonist,inhibitor/antagonist
1832,"1,18-Dihydroxy-12-[1-[4-(2-hydroxyethoxy)-3-methoxycyclohexyl]propan-2-yl]-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone; Everolimus; everolimus",Most predictable,MTOR inhibitor; inhibitor/antagonist; mTOR inhibitor,MTOR inhibitor
1832,"1,18-Dihydroxy-12-[1-[4-(2-hydroxyethoxy)-3-methoxycyclohexyl]propan-2-yl]-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone; Everolimus; everolimus",Most predictable,MTOR inhibitor; inhibitor/antagonist; mTOR inhibitor,inhibitor/antagonist
1832,"1,18-Dihydroxy-12-[1-[4-(2-hydroxyethoxy)-3-methoxycyclohexyl]propan-2-yl]-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone; Everolimus; everolimus",Most predictable,MTOR inhibitor; inhibitor/antagonist; mTOR inhibitor,mTOR inhibitor
2431,"3-[(1R,3R,5S,8R,9S,10R,11R,13R,14S,17R)-1,5,11,14-tetrahydroxy-10-(hydroxymethyl)-13-methyl-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2,3,4,6,7,8,9,11,12,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]-2H-furan-5-one; ouabain",Most predictable,ATPase inhibitor,ATPase inhibitor
2278,"(7R,9S)-9-acetyl-7-[[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyl-2-oxanyl]oxy]-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; daunorubicin",Most predictable,"RNA synthesis inhibitor | topoisomerase inhibitor; RNA synthesis inhibitor, Topoisomerase inhibitor",RNA synthesis inhibitor | topoisomerase inhibitor
