Step 3 compound-level predictability values - first pass
=======================================================

Best bowtie model: step3_bowtie_autoencoder_first_pass_best.pt
Best epoch: 50
Best validation loss: 0.3604666906546691

Row-level observations: 112974
Unique compounds: 6605

For each compound, errors were aggregated across all matched profiled signatures.
Mean error is the average bowtie reconstruction error across contexts.
Variance of error measures how much reconstruction error changes across contexts.
Predictability score is defined as 1 - percentile rank of mean_total_error.
Higher predictability_score means lower average error and therefore more predictable.

Top rows:
 compound_embedding_row_index                                                                                                                                                                                                                                                                                            compound_name  n_profiles  mean_total_error  variance_total_error  std_total_error  median_total_error  mean_signature_error  variance_signature_error  mean_compound_error  mean_context_error  mean_signature_reconstruction_loss  mean_compound_reconstruction_bce  mean_signature_sign_accuracy  mean_compound_bitwise_accuracy  error_percentile  predictability_score
                         1770                                                                                                   1-O-[(2S,3S,6R)-4-methoxy-16,18-dioxa-10-azapentacyclo[11.7.0.02,6.06,10.015,19]icosa-1(20),4,13,15(19)-tetraen-3-yl] 4-O-methyl (2R)-2-hydroxy-2-(3-hydroxy-3-methylbutyl)butanedioate; Harringtonine         147          0.122730              0.020460         0.143038            0.100679              0.091790                  0.016539             0.024110            0.011833                            0.155226                          0.051410                      0.981866                        0.982706          0.001665              0.998335
                          761                                                                                                Halobetasol Propionate; [(6S,8S,9R,10S,11S,13S,14S,16S,17R)-17-(2-chloroacetyl)-6,9-difluoro-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] propanoate           4          0.123500              0.000090         0.009474            0.125060              0.039531                  0.000082             0.078948            0.009098                            0.185361                          0.020621                      0.992718                        0.993698          0.001817              0.998183
                          643                                                                                                                                                                                                                                                                          Glycyrrhizic acid; Glycyrrhizin         140          0.123602              0.000681         0.026096            0.119525              0.077367                  0.000604             0.037530            0.015028                            0.207034                          0.011159                      0.967602                        0.996629          0.001968              0.998032
                         5204                                                                                                                                                                                                                                                     Cytarabine (hydrochloride); Cytarabine Hydrochloride         135          0.124293              0.000786         0.028041            0.122075              0.077620                  0.000610             0.039457            0.013381                            0.179071                          0.002986                      0.971631                        0.999707          0.002120              0.997880
                         5197                                                                                                                                                                                                                                                     Pyridoxine (hydrochloride); Pyridoxine Hydrochloride         287          0.124448              0.000774         0.027829            0.124539              0.085290                  0.000664             0.033902            0.009794                            0.171086                          0.010518                      0.976705                        0.995896          0.002271              0.997729
                          609                                                                                                                                                                                                                                                                                                Captopril         146          0.125289              0.001026         0.032025            0.122000              0.075819                  0.000827             0.042181            0.013236                            0.242603                          0.008646                      0.958007                        0.997215          0.002422              0.997578
                         5153                                                                                                                                                                                                                                                               Vinblastine (sulfate); Vinblastine Sulfate         143          0.125663              0.001067         0.032673            0.122106              0.096630                  0.000946             0.024809            0.005485                            0.161084                          0.011588                      0.981484                        0.996336          0.002574              0.997426
                         5146                                                                                                                                                   2-Pyridinamine, 3-((1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy)-5-(1-(4-piperidinyl)-1H-pyrazol-4-yl)-, hydrochloride (1:1); Crizotinib (hydrochloride)         143          0.126493              0.000954         0.030892            0.124369              0.094854                  0.000856             0.026955            0.007380                            0.162007                          0.020365                      0.977150                        0.993698          0.002725              0.997275
                         5280                                                                                                                                                                                                                                                                            Artenimol; Dihydroartemisinin         143          0.128716              0.000879         0.029647            0.127882              0.084796                  0.000780             0.039505            0.007411                            0.174184                          0.009623                      0.973822                        0.997508          0.002877              0.997123
                         5150                                                                                                                                                                                                                                                                      Doxycycline (monohydrate); Invertin         139          0.128725              0.000709         0.026618            0.127555              0.074531                  0.000606             0.047198            0.012250                            0.164053                          0.039728                      0.976575                        0.985344          0.003028              0.996972
